Name,City,Phone Number,Google Star Rating,Website
Coyo Taco - Príncipe Real,Lisboa,21 052 9201,4.3,http://www.coyotaco.pt/
Zé da Mouraria,Lisboa,21 886 5436,4.4,https://www.facebook.com/pages/Ze-da-Mouraria/506949056013831
Solar dos Presuntos,Lisboa,21 342 4253,4.5,http://www.solardospresuntos.com/
Cantinho do Aziz,Lisboa,21 887 6472,4.1,http://www.cantinhodoaziz.com/
Sála de João Sá,Lisboa,21 887 3045,4.7,http://www.restaurantesala.pt/
Grenache,Lisboa,21 887 1616,4.7,http://www.grenache.pt/
Tapisco Lisboa,Lisboa,21 342 0681,4.4,http://www.tapisco.pt/
Jeronymo Café Campo de Ourique,Lisboa,,4.3,http://jeronymo.pt/
Memoria,Lisboa,21 099 8366,4.4,https://www.grupononbasta.pt/
A Brasileira,Lisboa,21 346 9541,4.1,https://www.abrasileira.pt/
Pateo - Bairro do Avillez,Lisboa,21 583 0290,4.2,https://www.bairrodoavillez.pt/
Bistro 100 Maneiras,Lisboa,910 307 575,4.4,http://www.100maneiras.com/
Manteigaria,Lisboa,21 347 1492,4.8,https://www.facebook.com/manteigaria.oficial/
Comida Independente,Lisboa,21 395 1762,4.7,http://www.comidaindependente.pt/
Café de São Bento,Lisboa,913 658 343,4.5,http://www.cafesaobento.com/
Tasca da Esquina,Lisboa,919 837 255,4.4,http://www.tascadaesquina.com/
Coelho da Rocha,Lisboa,21 390 0855,4.6,https://www.facebook.com/restaurantecoelhodarocha/
Restaurante Atlântiko,Lisboa,21 116 6100,4.6,http://www.restauranteatlantiko.com/https://www.exehotels.com/exe-moncloa/terraza.html?td=l00rl00&id_referer=GMB&utm_source=google&utm_medium=gmb&utm_campaign=googlemb
Landeau Chocolate,Lisboa,917 278 939,4.7,http://www.landeau.pt/
Pastéis de Belém,Lisboa,21 363 7423,4.6,https://pasteisdebelem.pt/
Cura,Lisboa,21 381 1401,4.9,https://www.fourseasons.com/lisbon/dining/restaurants/cura/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-lis-fab-mid-seo-na&utm_content=na-na&utm_term=na
Cantinho do Avillez - Chiado,Lisboa,21 199 2369,4.3,https://www.cantinhodoavillez.pt/
Plano Restaurante,Lisboa,933 404 461,4.6,https://www.planorestaurante.com/
Casa Portuguesa do Pastel de Bacalhau,Lisboa,21 164 8919,4.1,http://www.pasteldebacalhau.pt/
Fábrica Coffee Roasters,Lisboa,21 139 9261,4.5,http://www.fabricacoffeeroasters.com/
WISH Concept Store,Lisboa,21 393 3036,3.9,http://www.wish.com.pt/
Bettina Corallo,Lisboa,,4.8,https://www.bettinacorallo.com/
the mill,Lisboa,,4.6,http://themill.pt/
Pabe,Lisboa,21 353 5675,4.6,http://www.pabe.pt/
Bloom Coffee Room,Lisboa,,4.8,
A Cevicheria,Lisboa,21 803 8815,4.3,http://www.acevicheria.pt/
31 d'Armada,Lisboa,936 000 244,4.3,http://www.31darmada.pt/
Loco,Lisboa,21 395 1861,4.7,http://www.loco.pt/
Fifty Seconds,Lisboa,21 152 5380,4.8,https://www.fiftysecondsexperience.com/
Feitoria,Lisboa,21 040 0208,4.7,https://www.restaurantefeitoria.com/
Epur,Lisboa,21 346 0519,4.7,http://www.epur.pt/
Eleven,Lisboa,21 386 2211,4.4,http://www.restauranteleven.com/
Belcanto,Lisboa,21 342 0607,4.6,https://www.belcanto.pt/
Alma,Lisboa,21 347 0650,4.7,http://www.almalisboa.pt/
John's of Bleecker Street,New York,(212) 243-1680,4.6,https://johnsofbleecker.com/
Bleecker Street Pizza,New York,(212) 924-4466,4.5,https://bleeckerstreetpizza.com/
Don Pepi Pizza,New York,(212) 967-4385,3.8,
Joe's Pizza,Celeirós,253 693 425,4.4,https://www.facebook.com/joespizzaCeleiros
Fig & Olive,,020 7354 2605,4.2,http://www.figolive.co.uk/
Cecconi's West Hollywood,West Hollywood,(310) 432-2000,4.4,https://www.cecconiswesthollywood.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness
PER ME - Giulio Terrinoni,Roma,06 687 7365,4.6,https://www.giulioterrinoni.it/
Supplizio,Roma,06 8987 1920,4.5,http://www.supplizioroma.it/
Pipero,Roma,06 6813 9022,4.5,http://www.piperoroma.it/
Le Coucou,New York,(212) 271-4252,4.5,https://www.lecoucou.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button
Manhatta,New York,(212) 230-5788,4.6,https://www.manhattarestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Aroma Pizzaria,Lisboa,21 606 0975,4.2,https://www.aromapizzaria.com/
Primè,Milano,02 6556 0923,4.3,http://www.ristoranteprime.it/
The Savoy,,020 7836 4343,4.7,https://www.thesavoylondon.com/?utm_source=google&utm_medium=GMB?goto=fiche_hotel&code_hotel=A597&merchantid=seo-maps-GB-A597&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTIzNjE0NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU=
Copa Barrafina,Lisboa,,4.8,http://www.copabars.com/
The Mansion Restaurant,Dallas,(214) 443-4747,4.6,http://www.rosewoodhotels.com/en/mansiononturtlecreek/dining/the_mansion_restaurant/
Garden Balthazar Caffe,Lisboa,924 782 032,4.5,http://balthazarcaffe.pt/
Chotto Matte Soho,,020 7042 7171,4.2,https://www.chotto-matte.com/london-soho/
Spqr,Palma,971 28 66 07,1,
Rich Table,San Francisco,(415) 355-9085,4.7,http://richtablesf.com/
